###Formula	Mass	Compound name	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
#Formula	Mass	Cpd	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
C5H9NO3	131.0576	Trans-4-Hydroxy-L-proline	C01157	51-35-4	positive	(M+H)+	130.23		N2		
C6H10N2O4	174.0634	N-Alpha-Acetyl-L-Asparagine		4033-40-3	negative	(M-H)-	137.87		N2		
C15H22N6O5S	398.1371	S-Adenosyl-L-methionine	C00019	29908-03-0	positive	(M+H)+	186.46		N2		
C6H9NO5	175.0474	N-Acetyl-L-aspartic acid	C01042	997-55-7	positive	(M+Na)+	143.7		N2		
C8H13NO6	219.0736	O-Succinyl-L-homoserine	C01118	1492-23-5	positive	(M+H)+	147.46		N2		
C8H13NO6	219.0736	O-Succinyl-L-homoserine	C01118	1492-23-5	positive	(M+Na)+	147.22		N2		
C7H11N3O2	169.0845	N(pi)-Methyl-L-histidine	C01152	368-16-1	positive	(M+H)+	134.65		N2		
C6H11NO4	161.0681	N-Methyl-L-glutamate	C01046	35989-16-3	positive	(M+H)+	133.71		N2		
C5H11NO2Se	196.9948	L-Selenomethionine	C05335	3211-76-5	positive	(M+H)+	137.67		N2		
C9H14N4O3	226.1059	Carnosine	C00386	305-84-0	positive	(M+H)+	152.18		N2		
C9H14N4O3	226.1059	Carnosine	C00386	305-84-0	negative	(M-H)-	154.93		N2		
C4H9NO2S	135.0348	Homocysteine	C05330	454-29-5	positive	(M+H)+	130.53		N2		
C4H9NO2S	135.0348	Homocysteine	C05330	454-29-5	negative	(M-H)-	159.62		N2		
C5H11NO2	117.0783	Betaine	C00719	107-43-7	positive	(M+H)+	122.15		N2		
C5H11NO2	117.0783	Betaine	C00719	107-43-7	positive	(M+Na)+	135.56		N2		
C4H9NO2	103.1203	N,N-Dimethylglycine	C01026	1118-68-9	positive	(M+H)+	123.9		N2		
C3H7NO2S	121.0197	L-Cysteine	C00097	56-89-3	positive	(M+H)+	149.57		N2		
C3H7NO2S	121.0197	L-Cysteine	C00097	56-89-3	positive	(M+Na)+	151.34		N2		
C3H7NO2S	121.0197	L-Cysteine	C00097	56-89-3	negative	(M-H)-	144.47		N2		
C3H7NO3	105.0419	L-Serine	C00716	56-45-1	negative	(M-H)-	136.66		N2		
C5H9NO2	115.0633	L-Proline	C00148	147-85-3	positive	(M+H)+	129.86		N2		
C5H9NO2	115.0633	L-Proline	C00148	147-85-3	negative	(M-H)-	133.51		N2		
C5H11NO2	117.079	L-Valine	C00183	72-18-4	positive	(M+H)+	134.28		N2		
C5H11NO2	117.079	L-Valine	C00183	72-18-4	positive	(M+Na)+	144.07		N2		
C5H11NO2	117.079	L-Valine	C00183	72-18-4	negative	(M-H)-	132.88		N2		
C4H9NO3	119.0582	L-Threonine	C00188	72-19-5	negative	(M-H)-	141.36		N2		
C5H9NO3	131.0582	Cis-4-hydroxy-2-proline	C03440	618-27-9	negative	(M-H)-	130		N2		
‎C6H13NO2	131.0946	L-Allo-Isoleucine	C21096	1509-34-8	negative	(M-H)-	134.45		N2		
‎C6H13NO2	131.0946	D-Leucine	C01570	328-38-1	negative	(M-H)-	135.76		N2		
C6H13NO2	131.0946	L-Leucine	C00123	61-90-5	positive	(M+H)+	139.65		N2		
C6H13NO2	131.0946	L-Leucine	C00123	61-90-5	negative	(M-H)-	138.71		N2		
‎C6H13NO2	131.0946	L-Isoleucine	C00407	73-32-5	positive	(M+H)+	137.7		N2		
‎C6H13NO2	131.0946	L-Isoleucine	C00407	73-32-5	negative	(M-H)-	135.59		N2		
C4H8N2O3	132.0535	L-Asparagine	C00152	70-47-3	positive	(M+H)+	131.54		N2		
C4H8N2O3	132.0535	L-Asparagine	C00152	70-47-3	positive	(M+Na)+	131.94		N2		
C4H8N2O3	132.0535	L-Asparagine	C00152	70-47-3	negative	(M-H)-	127.11		N2		
C5H12N2O2	132.0899	L-Ornithine	C00077	70-26-8	positive	(M+H)+	129.79		N2		
C5H12N2O2	132.0899	L-Ornithine	C00077	70-26-8	negative	(M-H)-	136.8		N2		
C4H7NO4	133.0375	L-Aspartic Acid	C00049	56-84-8	negative	(M-H)-	121.92		N2		
C5H10N2O3	146.0691	Glutamine	C00064	56-85-9	positive	(M+H)+	133.45		N2		
C5H10N2O3	146.0691	Glutamine	C00064	56-85-9	positive	(M+Na)+	138.11		N2		
C5H10N2O3	146.0691	Glutamine	C00064	56-85-9	negative	(M-H)-	132.11		N2		
C6H14N2O2	146.1055	L-Lysine	C00047	56-87-1	positive	(M+H)+	133.11		N2		
C6H14N2O2	146.1055	L-Lysine	C00047	56-87-1	negative	(M-H)-	141.76		N2		
C4H7NO4	133.0368	D-Aspartic acid	C16433	617-45-8	negative	(M-H)-	121.85		N2		
C5H9NO4	147.0532	L-Glutamic Acid	C00025	56-86-0	positive	(M+H)+	134.59		N2		
C5H9NO4	147.0532	L-Glutamic Acid	C00025	56-86-0	negative	(M-H)-	127.72		N2		
C5H11NO2S	149.051	L-Methionine	C01733	63-68-3	positive	(M+H)+	137.1		N2		
C5H11NO2S	149.051	L-Methionine	C01733	63-68-3	negative	(M-H)-	152.05		N2		
C6H9N3O2	155.0694	L-Histidine	C00135	71-00-1	positive	(M+H)+	133.51		N2		
C6H9N3O2	155.0694	L-Histidine	C00135	71-00-1	positive	(M+Na)+	137		N2		
C6H9N3O2	155.0694	L-Histidine	C00135	71-00-1	negative	(M-H)-	131.47		N2		
C9H11NO2	165.079	L-Phenylalanine	C00079	63-91-2	positive	(M+H)+	145.24		N2		
C9H11NO2	165.079	L-Phenylalanine	C00079	63-91-2	positive	(M+Na)+	141.89		N2		
C9H11NO2	165.079	L-Phenylalanine	C00079	63-91-2	negative	(M-H)-	146.52		N2		
C6H14N4O2	174.1117	L-Arginine	C00062	74-79-3	positive	(M+H)+	137.87		N2		
C6H14N4O2	174.1117	L-Arginine	C00062	74-79-3	negative	(M-H)-	132.24		N2		
C6H13N3O3	175.0957	L-Citrulline	C00327	372-75-8	negative	(M-H)-	139.51		N2		
C9H11NO3	181.0739	L-Tyrosine	C00082	60-18-4	positive	(M+H)+	148.49		N2		
C9H11NO3	181.0739	L-Tyrosine	C00082	60-18-4	negative	(M-H)-	148.26		N2		
C8H10N2O4	198.0641	L-Mimosine	C04771	500-44-7	positive	(M+H)+	143.47		N2		
C13H14N2O3	246.0998	N-Acetyl-D-tryptophan	C03137	2280-01-5	positive	(M+H)+	155.67		N2		
C13H14N2O3	246.0998	N-Acetyl-D-tryptophan	C03137	2280-01-5	positive	(M+Na)+	162.74		N2		
C13H14N2O3	246.0998	N-Acetyl-D-tryptophan	C03137	2280-01-5	negative	(M-H)-	161.97		N2		
C11H12N2O2	204.0899	L-Tryptophan	C00806	73-22-3	positive	(M+H)+	154.22		N2		
C11H12N2O2	204.0899	L-Tryptophan	C00806	73-22-3	negative	(M-H)-	158.58		N2		
C11H13NO3	207.0895	N-(3-Phenylpropionyl) Glycine		56613-60-6	positive	(M+H)+	149.47		N2		
C11H13NO3	207.0895	N-(3-Phenylpropionyl) Glycine		56613-60-6	positive	(M+Na)+	150.61		N2		
C7H14N2O4S	222.0674	L-Cystathionine	C00542	535-34-2	negative	(M-H)-	144.41		N2		
C13H16N2O4	264.111	Phenylacetyl L-Glutamine	C04148	28047-15-6	positive	(M+H)+	160.93		N2		
C13H16N2O4	264.111	Phenylacetyl L-Glutamine	C04148	28047-15-6	positive	(M+Na)+	171.25		N2		
C13H16N2O4	264.111	Phenylacetyl L-Glutamine	C04148	28047-15-6	negative	(M-H)-	169.17		N2		
C8H15NO6	221.0893	N-Acetyl-D-mannosamine	C00645	3615-17-6	positive	(M+Na)+	154.76		N2		
