main_class	subclass	Catalog	Company	KEGG	PubChem CID	InChi	Neutral Name	cas	formula	mass	mPlusH	mPlusHCCS	mPlusHRsd	mPlusNa	mPlusNaCCS	mPlusNaRsd	mMinusH	mMinusHCCS	mMinusHRsd	mPlusDot	mPlusDotCCS	mPlusDotRsd	mPlusTwoH	mPlusTwoHCCS	mPlusTwoHRsd
Primary Metabolites	Amino Acids	D1156	Sigma-Aldrich	C01026	673	FFDGPVCHZBVARC-UHFFFAOYSA-N	N,N-Dimethylglycine	1118-68-9	C4H9NO2	103.120336	104.127612	123.8957498	0.1239539	126.109554	N/A	N/A	102.11306	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	S4500	Sigma-Aldrich	C00065	5951	MTCFGRXMJLQNBG-REOHCLBHSA-N	L-Serine	56-45-1	C3H7NO3	105.0419272	106.0492032	N/A	N/A	128.0311452	N/A	N/A	104.0346512	136.6640161	0.236479911	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	P0380	Sigma-Aldrich	C00148	145742	ONIBWKKTOPOVIA-BYPYZUCNSA-N	L-Proline	147-85-3	C5H9NO2	115.0633254	116.07115	126.4800	0.2	138.0530954	N/A	N/A	114.0555008	133.51	0.11	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	B2629	Sigma-Aldrich	C00719	247	KWIUHFFTVRNATP-UHFFFAOYSA-N	Betaine	107-43-7	C5H11NO2	117.07832	118.08626	122.1530992	0.21775731	140.06809	135.5581033	0.04281955	116.07038	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	V0500	Sigma-Aldrich	C00183	6287	KZSNJWFQEVHDMF-BYPYZUCNSA-N	L-Valine	72-18-4	C5H11NO2	117.0789746	118.0862506	134.2846279	0.566898762	140.0681926	144.0702808	0.184630238	116.0716986	132.8771025	0.218417504	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	T8625	Sigma-Aldrich	C00188	6288	AYFVYJQAPQTCCC-GBXIJSLDSA-N	L-Threonine	72-19-5	C4H9NO3	119.0582404	120.0655164	N/A	N/A	142.0474584	N/A	N/A	118.0509644	141.3557675	0.284495021	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	W326305	Sigma-Aldrich	C00097	5862	XUJNEKJLAYXESH-REOHCLBHSA-N	L-Cysteine	56-89-3	C3H7NO2S	121.0197482	122.0275728	149.5663325	0.038809115	144.0095182	151.3424955	0.038353649	120.0119236	144.4724309	0.069589422	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	H54409	Sigma-Aldrich	C01157	5810	PMMYEEVYMWASQN-DMTCNVIQSA-N	Trans-4-Hydroxy-L-proline	51-35-4	C5H9NO3	131.057576	132.065516	130.2296142	0.514024301	154.047346	N/A	N/A	130.049636	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	A4625	Sigma-Aldrich		88064	KTHDTJVBEPMMGL-VKHMYHEASA-N	N-Acetyl-L-alanine	97-69-8	C5H9NO3	131.0582404	132.065517	N/A	N/A	154.0453	138.0666667	0.083633549	130.051	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	219959	Sigma-Aldrich	C03440	440014	PMMYEEVYMWASQN-IMJSIDKUSA-N	Cis-4-hydroxy-2-proline	618-27-9	C5H9NO3	131.0582404	132.0655164	N/A	N/A	154.0474584	N/A	N/A	130.0509644	129.9950266	0.674230308	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	N6877	Sigma-Aldrich	C01933	21236	LRQKBLKVPFOOQJ-YFKPBYRVSA-N	L-Norleucine	327-57-1	C6H13NO2	131.0946238	132.1011	142.6333333	0.040477934	154.0843938	N/A	N/A	130.0884	140.0666667	0.041219677	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	I8754	Sigma-Aldrich	C21096	99288	AGPKZVBTJJNPAG-UHNVWZDZSA-N	L-Allo-Isoleucine	1509-34-8	‎C6H13NO2	131.0946238	132.1018998	N/A	N/A	154.0838418	N/A	N/A	130.0873478	134.4521904	0.08634351	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	855448	Sigma-Aldrich	C01570	439524	ROHFNLRQFUQHCH-RXMQYKEDSA-N	D-Leucine	328-38-1	‎C6H13NO2	131.0946238	132.1018998	N/A	N/A	154.0838418	N/A	N/A	130.0873478	135.7591783	0.085512259	N/A	N/A	N/A	N/A	N/A	N/A
Primary Metabolites	Amino Acids	L8000	Sigma-Aldrich	C00123	6106	ROHFNLRQFUQHCH-YFKPBYRVSA-N	L-Leucine	61-90-5	C6H13NO2	131.0946238	132.1024484	136.5400	0.72	154.0843938	N/A	N/A	130.0867992	133.89	0.91	N/A	N/A	N/A	N/A	N/A	N/A
